school,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q21,Q22,Q23,Q24,Q25,Q26,StuLevel
Illinois,3,2,2,3,4,4,2,2,4,4,3,2,2,2,3,4,Senior
Illinois,5,5,,,,,,,,,,,,,,,
Illinois,2,2,2,2,3,3,4,4,3,4,1,3,2,2,2,4,Junior
Illinois,2,2,2,2,3,4,5,5,4,4,1,3,2,1,2,2,Junior
Illinois,3,1,2,2,2,3,3,3,4,3,1,2,1,2,1,2,Senior
Illinois,3,2,1,3,2,3,4,4,4,3,3,4,3,4,4,2,Senior
Illinois,3,3,3,2,3,4,4,4,4,4,3,3,3,3,2,4,Junior
Illinois,2,1,1,1,3,5,4,4,5,5,3,2,1,1,3,2,Senior
Illinois,3,4,4,5,4,3,3,5,5,5,3,4,3,3,3,3,Junior
Illinois,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,2,Senior
Illinois,3,2,1,1,1,3,5,4,3,2,1,1,1,4,2,3,Senior
Illinois,3,3,2,1,2,5,4,4,4,4,2,4,2,2,2,3,Senior
Illinois,2,1,1,1,2,2,2,2,4,4,2,1,1,2,1,2,Senior
Illinois,2,1,1,4,5,4,3,4,2,3,2,2,1,1,3,4,Senior
Illinois,2,3,4,4,4,4,4,4,4,4,3,1,1,1,4,4,Senior
Illinois,2,2,2,2,2,4,4,4,4,4,3,3,3,3,3,3,Senior
Illinois,3,1,1,1,1,4,5,4,2,2,1,4,1,1,1,1,Senior
Illinois,2,2,2,2,3,4,4,3,4,5,2,3,1,1,2,4,Senior
Illinois,3,3,2,1,1,4,4,2,5,2,2,4,1,5,3,3,Senior
Illinois,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,2,Senior
Illinois,3,1,1,1,1,4,4,4,5,4,1,2,1,1,1,1,Senior
Illinois,1,1,2,1,1,2,2,3,4,4,2,1,1,1,1,1,Senior
Illinois,3,3,2,1,2,5,5,5,5,4,3,4,3,5,3,3,Senior
Illinois,2,2,1,2,3,4,2,1,5,4,2,2,4,4,2,5,Senior
Illinois,3,2,2,2,3,4,3,4,3,4,2,3,2,2,2,3,Senior
Illinois,4,4,5,4,5,4,5,5,5,5,5,4,4,5,5,5,Senior
Illinois,2,2,2,1,4,4,5,4,5,5,1,2,1,1,1,3,Senior
Illinois,4,4,4,5,5,5,5,5,5,5,4,4,4,3,4,4,Junior
Illinois,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,Senior
Illinois,2,3,2,2,4,4,3,4,3,5,2,2,4,5,3,5,Junior
Illinois,3,2,2,1,2,4,3,3,3,5,1,2,1,2,1,3,Senior
Illinois,2,2,1,1,3,4,4,2,2,5,1,2,1,2,1,3,Senior
Illinois,1,1,1,1,1,3,4,4,3,3,1,1,1,1,1,1,Senior
Illinois,3,2,3,2,4,4,4,3,3,5,3,2,3,5,4,5,Senior
Illinois,4,4,3,3,2,3,5,4,4,3,3,3,3,3,3,3,Senior
Illinois,2,1,1,2,1,3,3,4,3,4,2,1,1,1,1,2,Senior
Illinois,2,2,2,2,5,2,3,4,4,2,4,4,4,2,4,4,Junior
Illinois,3,4,4,4,3,3,4,4,4,4,4,3,4,2,4,4,Senior
Illinois,3,2,1,1,4,4,4,4,4,4,1,2,1,1,1,3,Senior
Illinois,3,2,3,4,2,5,3,4,3,3,1,2,1,2,3,3,Junior
Illinois,1,1,1,3,2,5,4,3,4,5,2,2,1,3,4,4,Senior
Illinois,4,1,3,1,2,4,4,2,4,2,2,4,2,4,3,2,Junior
Illinois,2,2,1,1,1,3,4,4,4,4,1,1,1,1,1,1,Senior
Illinois,5,3,2,4,4,4,4,4,4,5,4,4,3,3,4,4,Senior
Illinois,3,3,4,2,3,4,4,4,5,3,2,3,3,4,3,4,Senior
Illinois,,,,,,,,,,,,,,,,,
Illinois,3,4,3,2,4,3,4,4,5,5,3,2,2,2,3,4,Senior
Illinois,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Senior
Illinois,4,2,3,3,2,4,2,2,3,4,1,2,1,2,2,4,Senior
Illinois,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,Junior
Illinois,3,2,1,2,1,1,1,1,1,1,2,2,2,1,1,2,Senior
